customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0020,Male,0,No,Yes,14,Yes,No phone service,No,Yes,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,101.03,1417.15,Yes
CUST0021,Female,0,Yes,No,31,No,No phone service,Fiber optic,Yes,No,Yes,No,No internet service,No,Two year,No,Credit card (automatic),97.24,3054.53,Yes
CUST0022,Male,0,Yes,No,19,No,No phone service,No,Yes,No internet service,No internet service,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),98.44,1851.65,No
CUST0023,Female,1,No,No,14,Yes,No,DSL,No internet service,No internet service,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.22,1270.5,No
CUST0024,Female,1,Yes,No,47,No,No,DSL,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,Yes,Mailed check,43.93,2064.79,No
CUST0025,Female,1,Yes,Yes,70,No,Yes,No,Yes,No,Yes,No internet service,No,No,Two year,No,Mailed check,105.93,7414.06,No
CUST0026,Female,1,No,Yes,20,Yes,Yes,DSL,Yes,No internet service,No,No internet service,No,No internet service,Two year,No,Electronic check,109.13,2178.21,No
CUST0027,Female,1,Yes,Yes,41,No,Yes,No,Yes,No,No,Yes,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),37.8,1520.36,No
CUST0028,Female,0,No,Yes,25,No,Yes,DSL,No,No,Yes,No,No,No,One year,No,Mailed check,31.31,808.32,Yes
CUST0029,Female,0,No,Yes,13,Yes,No phone service,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),117.51,1522.76,No
CUST0030,Female,0,No,Yes,56,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,106.57,6013.77,No
CUST0031,Male,0,Yes,Yes,36,No,No,Fiber optic,Yes,No,No,Yes,No internet service,No,One year,No,Mailed check,109.11,3904.04,No
CUST0032,Male,1,Yes,No,57,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),108.41,6197.64,Yes
CUST0033,Female,0,Yes,Yes,20,No,Yes,No,No,No internet service,No internet service,Yes,No,No,Two year,No,Electronic check,73.25,1509.07,Yes
CUST0034,Female,1,No,Yes,68,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),83.93,5723.59,No
CUST0035,Female,0,Yes,No,2,No,No phone service,No,No,Yes,No,No internet service,No,No internet service,Two year,Yes,Electronic check,73.63,184.39,No
CUST0036,Male,1,No,Yes,36,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),23.22,868.67,No
CUST0037,Female,1,No,Yes,48,No,No,No,No internet service,No,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,94.04,4499.93,Yes
CUST0038,Male,0,Yes,No,18,No,No,No,Yes,No internet service,No internet service,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),69.54,1261.73,No
CUST0039,Male,0,No,Yes,11,No,No,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,84.07,890.4,No
CUST0040,Male,0,Yes,Yes,60,Yes,Yes,No,No internet service,No,No,No,No internet service,No internet service,One year,Yes,Credit card (automatic),69.27,4159.75,No
CUST0041,Male,0,Yes,Yes,40,Yes,No,No,No,No internet service,No internet service,No,Yes,No,Two year,No,Mailed check,68.16,2699.44,No
CUST0042,Male,1,Yes,No,32,No,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,One year,Yes,Mailed check,35.52,1161.01,Yes
CUST0043,Female,0,Yes,Yes,49,No,No phone service,No,No,No,Yes,No internet service,No,Yes,One year,Yes,Electronic check,46.43,2277.88,No
CUST0044,Female,0,Yes,Yes,67,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),34.2,2282.52,No
CUST0045,Female,1,No,No,70,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,Yes,One year,Yes,Mailed check,37.96,2634.08,No
CUST0046,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Two year,Yes,Mailed check,117.24,3801.55,No
CUST0047,Female,0,No,No,23,Yes,No,DSL,Yes,No internet service,No internet service,No,No,No,Two year,Yes,Bank transfer (automatic),33.62,730.43,No
CUST0048,Male,0,Yes,No,60,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,45.47,2682.56,Yes
CUST0049,Female,0,Yes,Yes,60,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,Yes,Electronic check,78.24,4666.13,No
CUST0050,Female,0,Yes,No,27,No,No phone service,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),80.24,2213.59,No
CUST0051,Male,1,No,No,57,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),33.71,1969.39,No
CUST0052,Female,0,Yes,Yes,42,No,No,DSL,No internet service,No internet service,No,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),98.96,4171.81,Yes
CUST0053,Male,0,No,No,40,Yes,Yes,DSL,No internet service,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),98.09,3961.61,No
CUST0054,Female,0,No,No,38,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,42.21,1575.38,Yes
CUST0055,Male,0,Yes,Yes,48,No,No phone service,Fiber optic,No,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,47.44,2324.32,Yes
CUST0056,Female,0,Yes,Yes,16,No,No phone service,DSL,Yes,No,Yes,No,No internet service,Yes,One year,No,Bank transfer (automatic),113.67,1783.0,No
CUST0057,Female,1,No,Yes,69,Yes,Yes,DSL,No internet service,No internet service,No internet service,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),102.22,7013.29,No
CUST0058,Male,0,Yes,No,69,No,No phone service,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),89.18,6114.64,No
CUST0059,Male,1,No,Yes,64,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),26.39,1696.27,No
CUST0060,Male,1,Yes,No,4,No,Yes,Fiber optic,No,No internet service,No internet service,No,No,No internet service,Two year,No,Credit card (automatic),60.66,270.74,No
CUST0061,Male,0,Yes,No,1,No,No,No,No internet service,No,No,No,No,No,One year,Yes,Bank transfer (automatic),75.05,61.72,No
CUST0062,Male,0,No,No,21,Yes,No phone service,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),37.12,827.31,No
CUST0063,Male,0,Yes,No,56,No,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No internet service,Two year,Yes,Electronic check,63.72,3561.76,No
CUST0064,Male,0,No,No,65,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),79.3,5119.54,No
CUST0065,Male,1,Yes,No,15,Yes,No phone service,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,51.39,767.45,No
CUST0066,Female,0,No,No,50,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),97.66,4900.9,No
CUST0067,Female,0,No,Yes,38,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,No,No,One year,Yes,Mailed check,103.73,3974.96,No
CUST0068,Male,0,Yes,Yes,39,No,Yes,No,Yes,No internet service,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),51.01,1985.27,Yes
CUST0069,Female,0,No,No,37,No,Yes,No,Yes,Yes,No,No,No internet service,No,Two year,Yes,Credit card (automatic),103.54,3840.34,No
CUST0070,Female,0,Yes,No,59,Yes,Yes,DSL,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,28.56,1661.77,Yes
CUST0071,Female,0,Yes,Yes,58,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No,No internet service,Two year,No,Credit card (automatic),103.45,6014.69,No
CUST0072,Female,1,Yes,No,9,Yes,No phone service,Fiber optic,No internet service,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Credit card (automatic),33.58,350.82,Yes
CUST0073,Male,1,No,Yes,63,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),26.46,1621.89,No
CUST0074,Female,0,No,Yes,62,No,Yes,Fiber optic,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,83.46,5213.17,No
CUST0075,Male,0,Yes,Yes,48,Yes,No phone service,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,66.14,3180.95,No
CUST0076,Female,0,Yes,No,63,No,No,Fiber optic,No internet service,No,No,Yes,No internet service,No internet service,Month-to-month,No,Electronic check,110.6,6943.01,No
CUST0077,Female,1,No,No,31,Yes,No phone service,DSL,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,55.05,1752.04,No
CUST0078,Female,0,Yes,Yes,6,Yes,No,Fiber optic,No internet service,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,47.29,282.08,No
CUST0079,Male,1,Yes,Yes,20,Yes,No phone service,DSL,No,No internet service,No,No internet service,No,No internet service,One year,No,Credit card (automatic),69.07,1364.57,No
CUST0080,Female,0,No,Yes,19,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No internet service,No,Two year,Yes,Electronic check,64.51,1193.84,No
CUST0081,Male,0,Yes,Yes,25,No,No phone service,No,No,No,No internet service,Yes,No,Yes,Month-to-month,No,Electronic check,53.13,1302.7,No
CUST0082,Female,0,No,Yes,67,No,No,Fiber optic,No,No,No internet service,No,Yes,No internet service,One year,Yes,Electronic check,88.76,5980.2,No
CUST0083,Male,0,Yes,No,14,No,No,DSL,No,No internet service,No,No internet service,No internet service,Yes,Two year,No,Credit card (automatic),95.48,1348.16,No
CUST0084,Female,1,No,Yes,13,Yes,No phone service,No,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,105.0,1406.32,Yes
CUST0085,Male,1,Yes,No,26,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),117.23,3021.18,No
CUST0086,Male,0,Yes,Yes,39,No,No,No,No internet service,Yes,No,Yes,No internet service,No internet service,One year,Yes,Mailed check,45.2,1724.91,No
CUST0087,Female,0,No,No,57,No,Yes,Fiber optic,No,No internet service,No internet service,No internet service,No,Yes,Two year,No,Bank transfer (automatic),91.04,5139.89,No
CUST0088,Male,1,Yes,No,27,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),58.21,1572.46,No
CUST0089,Female,1,No,No,25,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,87.06,2226.33,No
CUST0090,Female,1,Yes,No,62,No,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Mailed check,66.55,4145.6,Yes
CUST0091,Female,1,No,No,65,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,Month-to-month,No,Electronic check,119.36,7739.24,No
CUST0092,Female,0,No,No,24,Yes,No phone service,DSL,No,No internet service,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),92.35,2254.09,Yes
CUST0093,Female,1,No,Yes,2,No,No phone service,No,Yes,No internet service,No internet service,Yes,Yes,No,One year,No,Mailed check,115.15,258.47,No
CUST0094,Female,0,No,No,71,Yes,Yes,DSL,No,No internet service,Yes,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),103.17,7276.61,Yes
CUST0095,Female,1,Yes,Yes,43,No,Yes,DSL,Yes,No internet service,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,110.1,4765.99,No
CUST0096,Female,1,Yes,No,41,Yes,Yes,No,No,No,No,No internet service,No,No,Two year,Yes,Electronic check,101.07,4123.92,No
CUST0097,Female,1,No,No,5,No,No,DSL,No internet service,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,64.83,289.12,Yes
CUST0098,Female,1,No,Yes,38,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),43.68,1632.47,No
CUST0099,Female,1,No,No,51,No,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),55.77,2841.13,No
CUST0100,Male,0,Yes,Yes,22,No,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Two year,Yes,Mailed check,20.06,433.81,No
CUST0101,Male,0,Yes,Yes,49,No,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),71.45,3479.94,No
CUST0102,Female,1,Yes,Yes,42,No,No phone service,Fiber optic,Yes,No internet service,Yes,Yes,No internet service,No,One year,No,Credit card (automatic),69.52,2887.06,Yes
CUST0103,Female,1,Yes,Yes,18,Yes,No phone service,Fiber optic,No internet service,No,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),71.58,1314.66,Yes
CUST0104,Female,0,No,No,68,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),117.35,8028.81,No
CUST0105,Female,1,No,No,50,No,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,110.97,5576.28,No
CUST0106,Female,1,No,Yes,10,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),34.49,324.49,No
CUST0107,Female,0,Yes,No,11,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,No internet service,No,Two year,Yes,Mailed check,55.63,586.41,Yes
CUST0108,Female,1,Yes,No,7,Yes,No phone service,DSL,No,No,No internet service,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),61.24,400.45,Yes
CUST0109,Female,1,Yes,Yes,23,Yes,Yes,Fiber optic,No internet service,Yes,No,No,No internet service,No,Two year,No,Bank transfer (automatic),54.77,1223.38,No
CUST0110,Male,0,No,No,40,Yes,No phone service,Fiber optic,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Mailed check,99.45,3983.13,Yes
CUST0111,Female,0,No,Yes,35,No,No phone service,No,Yes,No internet service,Yes,No,Yes,No,Two year,Yes,Electronic check,71.45,2511.29,No
CUST0112,Male,0,Yes,Yes,71,No,No phone service,DSL,No,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,76.35,5441.4,Yes
CUST0113,Female,1,No,No,54,No,No,DSL,Yes,No,Yes,Yes,No internet service,No,Two year,Yes,Mailed check,105.01,5688.56,Yes
CUST0114,Female,0,Yes,No,8,No,No,DSL,Yes,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,100.2,780.83,No
CUST0115,Male,0,Yes,No,46,Yes,No phone service,DSL,No internet service,No,No,Yes,No,Yes,One year,Yes,Mailed check,31.49,1431.57,No
CUST0116,Female,0,No,Yes,14,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,Yes,No internet service,No internet service,Month-to-month,No,Credit card (automatic),90.82,1289.63,No
CUST0117,Male,0,Yes,Yes,47,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,No,Electronic check,62.41,2918.21,Yes
CUST0118,Female,0,No,No,41,Yes,No phone service,No,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),48.05,1941.31,No
CUST0119,Female,0,Yes,No,59,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),23.1,1350.33,No
CUST0120,Male,1,No,No,69,No,No phone service,DSL,Yes,Yes,Yes,No internet service,No,No,Two year,No,Bank transfer (automatic),67.7,4648.51,No
CUST0121,Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No,No,No internet service,No,One year,Yes,Mailed check,54.25,555.58,No
CUST0122,Male,0,No,Yes,1,No,No,No,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),43.65,76.66,No
CUST0123,Female,0,Yes,No,6,No,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),88.86,568.47,No
CUST0124,Male,0,Yes,Yes,2,Yes,Yes,DSL,No,No,No,Yes,Yes,No internet service,One year,No,Electronic check,96.49,164.96,No
CUST0125,Male,1,No,Yes,2,Yes,No,No,Yes,No internet service,No,No,No internet service,No,Two year,Yes,Electronic check,42.97,42.42,No
CUST0126,Female,1,No,No,26,No,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,23.04,622.92,Yes
CUST0127,Female,1,Yes,No,39,No,Yes,No,No internet service,No,No,Yes,No internet service,Yes,One year,Yes,Credit card (automatic),104.57,4049.38,No
CUST0128,Male,1,Yes,No,32,Yes,No,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Two year,No,Electronic check,19.02,597.98,No
CUST0129,Female,1,Yes,Yes,0,No,No phone service,Fiber optic,Yes,Yes,No,No,No internet service,No internet service,Two year,Yes,Electronic check,113.59,-43.59,No
CUST0130,Female,1,No,No,7,No,No phone service,Fiber optic,No internet service,No,No internet service,Yes,No,Yes,One year,Yes,Electronic check,82.02,546.77,No
CUST0131,Female,1,Yes,No,31,No,Yes,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,50.83,1605.02,No
CUST0132,Male,1,Yes,Yes,47,Yes,No,DSL,No,No internet service,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),43.14,2058.02,No
CUST0133,Male,1,No,No,3,No,No phone service,No,No,Yes,Yes,No internet service,No internet service,Yes,Two year,Yes,Bank transfer (automatic),18.92,27.47,No
CUST0134,Male,0,Yes,Yes,69,Yes,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),42.02,2882.97,No
CUST0135,Male,0,Yes,No,18,No,No,DSL,No internet service,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),32.05,540.32,No
CUST0136,Male,0,Yes,Yes,31,Yes,No,No,No,No,No,Yes,No internet service,No internet service,Two year,Yes,Mailed check,80.44,2451.06,No
CUST0137,Male,0,No,No,8,No,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),34.99,329.14,No
CUST0138,Male,1,No,No,11,Yes,No phone service,No,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Electronic check,71.92,806.68,Yes
CUST0139,Male,1,No,Yes,10,Yes,Yes,DSL,No,No internet service,No internet service,No,No internet service,No,Month-to-month,No,Electronic check,78.19,786.11,No
CUST0140,Male,0,No,Yes,45,Yes,Yes,DSL,Yes,Yes,No,No,No internet service,No,Month-to-month,No,Credit card (automatic),48.4,2204.55,No
CUST0141,Female,1,No,No,15,No,No phone service,Fiber optic,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),21.58,357.71,No
CUST0142,Male,0,No,Yes,0,No,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),21.8,30.67,No
CUST0143,Female,1,No,Yes,62,No,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,One year,No,Credit card (automatic),20.69,1234.43,No
CUST0144,Female,0,Yes,Yes,20,Yes,No phone service,DSL,Yes,No internet service,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,93.39,1836.48,No
CUST0145,Female,1,Yes,Yes,29,No,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,50.44,1478.25,No
CUST0146,Male,1,No,No,12,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),99.22,1178.22,No
CUST0147,Male,0,Yes,No,33,No,No,No,No,No,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),62.04,2095.57,No
CUST0148,Male,1,Yes,Yes,3,Yes,No,No,No internet service,No,No,No internet service,Yes,Yes,Two year,Yes,Mailed check,64.21,209.17,No
CUST0149,Male,0,No,Yes,27,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),70.31,1944.02,Yes
CUST0150,Female,0,Yes,Yes,58,Yes,No phone service,No,No internet service,No internet service,No internet service,No,Yes,No,Two year,No,Credit card (automatic),90.73,5232.48,No
CUST0151,Male,0,Yes,Yes,26,No,Yes,No,Yes,No,No,No internet service,No,Yes,One year,Yes,Bank transfer (automatic),45.9,1229.8,No
CUST0152,Male,0,Yes,No,68,No,No phone service,DSL,No,Yes,No,Yes,No,No,One year,No,Bank transfer (automatic),30.4,2049.34,Yes
CUST0153,Male,1,Yes,No,24,No,Yes,DSL,No internet service,Yes,No,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),74.72,1842.24,No
CUST0154,Male,1,Yes,Yes,2,Yes,No phone service,No,No,No internet service,No internet service,No,No,Yes,One year,No,Mailed check,51.35,68.47,No
CUST0155,Male,1,No,Yes,67,Yes,No,No,Yes,Yes,No,Yes,No,No internet service,Month-to-month,Yes,Mailed check,63.13,4231.34,No
CUST0156,Female,0,No,Yes,24,No,No,DSL,Yes,Yes,Yes,No,No internet service,No,One year,No,Electronic check,83.99,2045.04,No
CUST0157,Male,1,No,No,19,No,No,No,Yes,No,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,68.4,1292.86,No
CUST0158,Female,0,Yes,Yes,33,No,No phone service,Fiber optic,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Credit card (automatic),81.27,2678.72,No
CUST0159,Male,1,No,No,25,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,Yes,One year,No,Bank transfer (automatic),73.51,1886.39,Yes
CUST0160,Female,1,Yes,Yes,4,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),93.46,366.37,No
CUST0161,Male,1,Yes,No,60,Yes,No,No,Yes,No internet service,No internet service,Yes,Yes,No internet service,Two year,No,Electronic check,90.01,5411.01,No
CUST0162,Male,0,Yes,Yes,8,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,One year,No,Mailed check,72.49,535.37,No
CUST0163,Female,1,Yes,No,49,Yes,No,No,Yes,No,No internet service,Yes,No internet service,No internet service,One year,No,Electronic check,87.25,4309.47,Yes
CUST0164,Female,1,No,Yes,5,No,No,No,No internet service,No,No,Yes,Yes,Yes,One year,No,Credit card (automatic),107.1,550.32,Yes
CUST0165,Female,0,No,Yes,59,Yes,Yes,DSL,Yes,No internet service,No internet service,No internet service,Yes,No,Month-to-month,No,Electronic check,62.09,3653.71,Yes
CUST0166,Male,1,Yes,Yes,43,Yes,No phone service,DSL,Yes,No internet service,No internet service,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),60.1,2535.92,No
CUST0167,Female,0,No,No,10,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),95.95,968.67,No
CUST0168,Male,1,Yes,Yes,65,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,No internet service,Yes,Yes,Two year,No,Credit card (automatic),77.42,4983.57,Yes
CUST0169,Male,0,No,No,46,Yes,No phone service,No,No,No internet service,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),25.24,1111.16,No
CUST0170,Female,0,No,No,72,No,No,DSL,No,No,Yes,No internet service,Yes,No,Two year,No,Electronic check,109.0,7859.61,No
CUST0171,Female,1,Yes,Yes,2,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),21.14,11.18,No
CUST0172,Male,0,No,Yes,29,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,No internet service,No,One year,Yes,Credit card (automatic),94.34,2705.05,No
CUST0173,Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No internet service,No internet service,Yes,No,No,No internet service,Two year,Yes,Bank transfer (automatic),95.4,1923.33,Yes
CUST0174,Female,0,No,No,27,No,No,DSL,Yes,Yes,No,Yes,No internet service,No,Two year,No,Credit card (automatic),115.22,3066.31,No
